x,y,ux,uy
20.875,0,0.033993032,0.003325704
24.25,6.25,0.030130893,0.000486137
26.5,12.5,0.031695621,4.0743E-05
27.625,17.5,0.032758037,-3.69953E-05
22,1.25,0.028920516,0.001834828
26.5,11.25,0.031282217,0.000423982
24.25,5,0.030016653,0.000669741
25.375,7.5,0.030935884,0.000647281
23.125,2.5,0.029707998,0.001198208
27.625,15,0.032622365,-0.000460405
26.5,10,0.030889495,0.000265649
22,0,0.02622942,0.001741353
28.75,20,0.033016088,-0.001121321
24.25,3.75,0.030299733,0.00068423
28.75,18.75,0.034210612,-0.000730221
27.625,12.5,0.031743497,0.00070077
26.5,8.75,0.031379357,0.000100255
28.75,17.5,0.033758417,-0.000269804
28.75,16.25,0.033390965,1.97776E-05
25.375,5,0.031405909,0.000629323
24.25,2.5,0.030562864,0.001483166
26.5,7.5,0.031370961,0.000382258
28.75,15,0.033140531,-0.000566681
23.125,0,0.020778906,-0.000959987
27.625,10,0.032018267,0.000782186
28.75,13.75,0.032593541,0.000372831
26.5,6.25,0.031359085,0.000708858
29.8026966,19.1035534,0.035307905,-0.000398621
24.25,1.25,0.030647145,0.001554448
28.75,12.5,0.032177366,0.000632316
30.15625,20,0.034562844,-0.000861476
29.7656395,16.7809263,0.033357554,-0.000548148
26.5,5,0.031249974,0.000723508
25.375,2.5,0.031177491,0.001289532
28.75,11.25,0.031956947,-8.73907E-05
27.625,7.5,0.03189128,0.000415357
29.7163156,14.5633359,0.033485592,7.78659E-05
24.25,0,0.029899063,0.001703691
28.75,10,0.032122911,0.000421271
26.5,3.75,0.031517676,0.00090379
29.6740506,12.337362,0.032355794,7.21243E-05
30.8553932,18.2071068,0.035367775,-0.000728921
28.75,8.75,0.032170136,0.000255965
30.8095186,17.1377352,0.035027552,-0.00055695
30.7597438,16.1127315,0.034748698,-0.00026948
27.625,5,0.032208917,0.000943437
26.5,2.5,0.03164326,0.001268195
30.710327,15.1154711,0.033919531,-0.000266168
28.75,7.5,0.032224022,0.000429652
31.5625,20,0.035896393,-0.001489617
25.375,0,0.034154229,0.001607668
30.6637694,14.1292482,0.033895184,-0.000263901
